epoch,train_loss,train_acc,val_loss,val_acc
1,1.270633625679016,0.54534,1.051803362751007,0.6332
2,0.8830230569648743,0.68958,0.9102233664512634,0.6843
3,0.6979621264648438,0.75602,0.8904780414581299,0.6934
4,0.535172639875412,0.81308,0.917412025642395,0.705
5,0.3740653718948364,0.8698,1.0405296382904052,0.6935
6,0.46325800958633423,0.84152,0.8870210479736328,0.7081
7,0.357976120262146,0.87898,0.9610777500152587,0.7085
8,0.25599413892269135,0.9163,1.058418895149231,0.6996
9,0.3233686169815064,0.89526,0.93894889087677,0.7123
10,0.2631782249879837,0.91686,1.026935883140564,0.7077
